sentence_index,entity_raw,entity_normalised,category,sentence_text
3,Ron Warmington,Ron Warmington,Individual,"May I call Ron Warmington, please?"
11,Declare,Declare,Organisation,Declare and affirm.
12,Declare,Declare,Organisation,"Declare and affirm that the evidence I shall give That the evidence I shall give shall be the truth, shall be the truth, the whole truth, the whole truth, and nothing but the truth, and nothing but the truth."
14,Warmington,Ron Warmington,Individual,"Good afternoon, Mr. Warmington."
15,Jason Beer,Beer,Individual,My name is Jason Beer and I ask questions on behalf of the inquiry.
17,Ronald John Warmington,Ronald John Warmington,Individual,Ronald John Warmington.
23,Beer,Beer,Individual,"That's right, Mr. Beer."
45,Institute,Institute,Organisation,And in 1979 you became a Fellow of the Institute; is that right?
47,Ernst Young,Ernst Young,Individual,"In terms of your work career, you worked as an external auditor between 1968 and 1975 for a company that was subsequently acquired by Ernst Young, is that right?"
54,Ernst Young,Ernst Young,Individual,"In any event, it was a company that was subsequently acquired by Ernst Young?"
56,Citibank,Citibank,Organisation,"Between '75 and 2002, you worked for Citibank, is that right?"
58,CFO,CFO,Organisation,"Variously as a regional head of internal audit, chairman of the audit and risk committee, CFO, Head of Investigations for Europe, the Middle East, and Africa, and then Global Head of Investigations?"
58,Global Head of Investigations,Global Head of Investigations,Individual,"Variously as a regional head of internal audit, chairman of the audit and risk committee, CFO, Head of Investigations for Europe, the Middle East, and Africa, and then Global Head of Investigations?"
60,GE Capital,GE Capital,Organisation,"Between 2000 and 2010, you were a director of GE Capital as Head of Fraud Management in Europe, the Middle East, and Africa?"
60,Head of Fraud Management,Head of Fraud Management,Organisation,"Between 2000 and 2010, you were a director of GE Capital as Head of Fraud Management in Europe, the Middle East, and Africa?"
62,Second Sight Support Services Limited,Second Sight Support Services Limited,Organisation,"In 2009 and 2010, you became part of and then a director of Second Sight Support Services Limited?"
67,the Post Office,Post Office,Organisation,"To summarise, is this right, you were an independent forensic accountant contracted by the Post Office to conduct an investigation into, broadly speaking, Horizon?"
67,Horizon,Horizon,Technical System,"To summarise, is this right, you were an independent forensic accountant contracted by the Post Office to conduct an investigation into, broadly speaking, Horizon?"
69,the Post Office,Post Office,Organisation,"You had the backing of MPs who were trying to get the Post Office to address their concerns, i.e., the concerns of MPs raised on behalf of constituents?"
71,the Post Office,Post Office,Organisation,"In the course of your work, you had access to senior people within the Post Office?"
72,Horizon,Horizon,Technical System,who either themselves had access or could access information concerning issues with Horizon?
78,Susan Kreischer,Susan Kreischer,Individual,"That were— those promises were made by Susan Kreischer, Paula Venles, and Alice Perkins?"
78,Paula Venles,Paula Venles,Individual,"That were— those promises were made by Susan Kreischer, Paula Venles, and Alice Perkins?"
78,Alice Perkins,Alice Perkins,Individual,"That were— those promises were made by Susan Kreischer, Paula Venles, and Alice Perkins?"
80,Post Office,Post Office,Organisation,"Despite this, you tell us in your witness statement, you found that the Post Office reneged on those promises?"
86,Post Office,Post Office,Organisation,"And you eventually formed the view that the Post Office considered that Second Sight was, quote, entirely under its control and could be ordered to do or could be disallowed from doing whatever it, the Post Office, wanted?"
86,Sight,Second Sight,Organisation,"And you eventually formed the view that the Post Office considered that Second Sight was, quote, entirely under its control and could be ordered to do or could be disallowed from doing whatever it, the Post Office, wanted?"
89,the Post Office's,Post Office,Organisation,"You say in your witness statement that you experienced the Post Office's strategy of denying problems that it, the Post Office, knew of."
91,Horizon,Horizon,Technical System,Of trying to remove oversight or investigation which may have led to adverse conclusions about Horizon in particular.
97,the Post Office,Post Office,Organisation,"At the time you were doing the work, why did you think they were— they, the Post Office, it, the Post Office, was conducting itself in this way?"
98,Henderson,Ian Henderson,Individual,"Well, very much along the lines of what Mr Henderson said that it was very clear that Post Office knew, insofar as a corporation can know anything, the people at the top knew that they were dealing with an existential issue, that if it turned out that Horizon was generating spurious shortfalls, that they had a lousy investigation function, that they had wrongfully prosecuted people, that would be existential."
98,Post Office,Post Office,Organisation,"Well, very much along the lines of what Mr Henderson said that it was very clear that Post Office knew, insofar as a corporation can know anything, the people at the top knew that they were dealing with an existential issue, that if it turned out that Horizon was generating spurious shortfalls, that they had a lousy investigation function, that they had wrongfully prosecuted people, that would be existential."
98,Horizon,Horizon,Technical System,"Well, very much along the lines of what Mr Henderson said that it was very clear that Post Office knew, insofar as a corporation can know anything, the people at the top knew that they were dealing with an existential issue, that if it turned out that Horizon was generating spurious shortfalls, that they had a lousy investigation function, that they had wrongfully prosecuted people, that would be existential."
