sentence_index,entity_raw,entity_normalised,category,sentence_text,session
0,Beer,Beer,Individual,"Yes, Mr. Beer.",Day143
2,Vennells,Vennells,Individual,"Good morning, Ms. Vennells.",Day143
3,Beer,Beer,Individual,"Good morning, Mr. Beer.",Day143
8,Deloitte,Deloitte,Organisation,I'd like first to look at the process by which Second Sight were chosen and Deloitte were not to conduct an investigation.,Day143
10,Simon Baker,Simon Baker,Individual,"And if we look at the foot of the page, there's an email from Simon Baker— you're not on this chain— to Susan Crichton and Lesley Sewell of 6 June 2012.",Day143
10,Susan Crichton,Susan Crichton,Individual,"And if we look at the foot of the page, there's an email from Simon Baker— you're not on this chain— to Susan Crichton and Lesley Sewell of 6 June 2012.",Day143
10,Lesley Sewell,Lesley Sewell,Individual,"And if we look at the foot of the page, there's an email from Simon Baker— you're not on this chain— to Susan Crichton and Lesley Sewell of 6 June 2012.",Day143
11,Susan,Susan Crichton,Individual,"And he says, Susan, Lesley, attached is Ron's proposal.",Day143
11,Lesley,Lesley Sewell,Individual,"And he says, Susan, Lesley, attached is Ron's proposal.",Day143
11,Ron,Ron,Individual,"And he says, Susan, Lesley, attached is Ron's proposal.",Day143
12,Alice,Alice,Individual,"My view is that we make it clear to Alice and Paula the distinction between the work Ron is proposing, brackets, an independent review of past cases, and the Horizon forensic audit, the Deloitte proposal, and put it on the agenda to discuss tomorrow, which would be the 7th of June.",Day143
12,Paula,Vennells,Individual,"My view is that we make it clear to Alice and Paula the distinction between the work Ron is proposing, brackets, an independent review of past cases, and the Horizon forensic audit, the Deloitte proposal, and put it on the agenda to discuss tomorrow, which would be the 7th of June.",Day143
12,Ron,Ron,Individual,"My view is that we make it clear to Alice and Paula the distinction between the work Ron is proposing, brackets, an independent review of past cases, and the Horizon forensic audit, the Deloitte proposal, and put it on the agenda to discuss tomorrow, which would be the 7th of June.",Day143
12,Deloitte,Deloitte,Organisation,"My view is that we make it clear to Alice and Paula the distinction between the work Ron is proposing, brackets, an independent review of past cases, and the Horizon forensic audit, the Deloitte proposal, and put it on the agenda to discuss tomorrow, which would be the 7th of June.",Day143
15,Deloitte,Deloitte,Organisation,"I couldn't recall it at the time, and I think I say in my statement that The Deloitte work, which was named Project Spire, was not something that I remembered, but I can see that there were those 2 alternatives being discussed.",Day143
