[0.00s -> 19.84s]  Yes, Mr. Beer.
[19.84s -> 20.84s]  Thank you, sir.
[20.84s -> 21.84s]  Good morning, Ms. Venald.
[21.84s -> 22.84s]  Good morning, Mr. Beer.
[22.84s -> 29.40s]  Yesterday, aside from the seven general topics that I dealt with in the morning, we addressed
[29.40s -> 36.76s]  two issues of substance, one was the complaints made by some postmasters and others about
[36.76s -> 43.16s]  bugs errors and defects, and then secondly we looked at remote access in the afternoon.
[43.16s -> 48.80s]  Can I turn to my third topic of substance then, which is the second site investigation
[48.80s -> 54.56s]  and the complaint and mediation scheme.
[54.56s -> 61.68s]  like first to look at the process by which second site were chosen and Deloitte were
[61.68s -> 71.20s]  not to conduct an investigation. And can we look, please, at poll 0018-0209? I want to
[71.20s -> 80.08s]  come up on the screen for you.
[80.08s -> 86.50s]  And if we look at the foot of the page, there's an email from Simon Baker.
[86.50s -> 90.40s]  You're not on this chain.
[90.40s -> 98.40s]  To Susan Crichton and Leslie Sewell of the 6th of June 2012.
[98.40s -> 104.20s]  And he says, Susan Leslie attached is Ron's proposal.
[104.20s -> 109.80s]  My view is that we make it clear to Alice and Paula, the distinction between the work
[109.80s -> 118.52s]  Ron is proposing, brackets, an independent review of past cases, and the Horizon Forensic
[118.52s -> 127.32s]  audit, the Deloitte proposal, and put it on the agenda to discuss tomorrow, which would
[127.32s -> 137.60s]  be the 7th of June. At this stage, were you aware that there were two contenders for the
[137.60s -> 145.92s]  undertaking of some form of investigation, review or audit?
[145.92s -> 151.84s]  From the documentation I can see that's the case. I couldn't recall it at the time and
[151.84s -> 159.08s]  I think I say in my statement that the Deloitte work which was named Project Spire was not
[159.08s -> 163.92s]  something that I remembered but I can see that there were those two alternatives being
[163.92s -> 165.32s]  discussed.
[165.32s -> 172.84s]  Can you remember the distinction between them, i.e. what was proposed to be done by a second
[172.84s -> 176.08s]  side and what was to be done by Deloitte?
[176.08s -> 182.84s]  No, I can't recall the distinction, but I can see it from what was being said here.
[182.84s -> 188.20s]  And I don't know, to be honest, how much I remember that, how much I understood that
[188.20s -> 189.86s]  distinction at the time.
[189.86s -> 192.56s]  Looking at the documents, they're clearly very different.
[192.56s -> 197.12s]  The Project SPIRE document is a forensic investigation of the Horizon System.
[197.12s -> 204.92s]  And by, sorry to interrupt, by a forensic investigation of the Horizon System, is that
[204.92s -> 208.12s]  captured by these words here, a forensic audit?
[208.12s -> 212.44s]  Yes, and I've just read that, so I've used forensic because I've just seen it on there.
[212.44s -> 217.60s]  I would have said a detailed investigation of the Horizon System.
[217.60s -> 225.36s]  My concern at the time, my priority at the time, was to choose an organisation whom I
[225.36s -> 235.24s]  felt would relate best with the postmasters who had been raising their claims.
[235.24s -> 240.72s]  As it's described here, the work that Second Sight were proposing, by contrast, was a review
[240.72s -> 242.08s]  of past cases.
[242.08s -> 243.08s]  Yes.
[243.08s -> 245.52s]  Can we see what happened then, please?
[245.52s -> 265.40s]  0023 3736. Now this is a timeline that has been prepared after the event of the events
[265.40s -> 271.60s]  which led to and happened in the course of the mediation scheme. But it's the best and
[271.60s -> 277.20s]  only record I think we've got of what happened on the 7th of June, the day following the
[277.20s -> 279.68s]  email that I've just read to you.
[279.68s -> 280.68s]  Right.
[280.68s -> 286.78s]  And can we look please at page 3?
[286.78s -> 292.36s]  And do you see in the box that's at the bottom of the screen there, it's recorded that on
[292.36s -> 299.12s]  the 7th of June 2012, a meeting is held between you, Alice Perkins, Susan Crichton, Alwyn
[299.12s -> 305.16s]  lines in Simon Baker where the Deloitte and Second Site proposals are discussed and Second
[305.16s -> 314.84s]  Site was chosen as the preferred supplier. Why was Second Site proposal preferred to
[314.84s -> 316.56s]  that of Deloitte?
[316.56s -> 325.04s]  I think because of what I just said earlier, from my own recollection is I felt very strongly
[325.04s -> 328.34s]  that we needed an organization who would be able to work well
[328.34s -> 333.72s]  with sub-postmasters, I was concerned that any one
[333.72s -> 336.08s]  of the big four, Deloitte being one of them,
[336.08s -> 337.92s]  may have come across two corporates
[337.92s -> 339.30s]  and wouldn't necessarily have had
[339.30s -> 342.52s]  the understanding of running a post office
[342.52s -> 345.80s]  in small retail businesses.
[345.80s -> 350.00s]  I don't recall, which is why, sorry,
[350.00s -> 351.30s]  let me finish on this thing.
[351.30s -> 358.78s]  I don't recall looking at the proposals in detail at the meeting.
[358.78s -> 363.86s]  That's what I was going to ask, rather than which might be preferred by sub-postmasters,
[363.86s -> 367.96s]  how it might look going to one of the big four.
[367.96s -> 377.38s]  Was the substance of what each organization was going to do a relevant consideration?
[377.38s -> 379.38s]  I don't recall that.
[379.38s -> 385.96s]  I don't, and the reason I feel sure about that recollection is that when in preparing
[385.96s -> 391.96s]  for today I looked at what was called the project's bio document, I was quite surprised
[391.96s -> 393.28s]  about the detail in it.
[393.28s -> 398.00s]  And one of my reflections now is that actually that would have been a very good piece of
[398.00s -> 402.76s]  work to have done because it may have brought more data to the fore than we knew.
[402.76s -> 406.76s]  That's a question that I'm going to turn to in a moment.
[406.76s -> 416.16s]  And is the short point that the second site review was much narrower in scope in that
[416.16s -> 425.36s]  it was proposed that the system should be reviewed by looking at a sample of past cases?
[425.36s -> 429.40s]  Yes, I believe that's the case.
[429.40s -> 434.52s]  Rather than auditing the Verizon system as a whole?
[434.52s -> 441.72s]  the case in terms of my view today, I don't believe we went through that particular angle
[441.72s -> 444.96s]  of discussion in the meeting.
[444.96s -> 452.22s]  Is that right? What would you say to the suggestion that a deliberate choice was made to pick
